run_id,id,writer_reference_id,dataset,provider,model,reference_type,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,meteor,bertscore_precision,bertscore_recall,bertscore_f1
20260519_232753,5a5d2bbfb7a74067abfb31a5f4888c71,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.33999999999999997,0.12244897959183673,0.27999999999999997,0.19126233984457047,0.887955904006958,0.8940480947494507,0.8909915685653687
20260519_232753,649b09bfce674ca1bfd66a519fcdf59a,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.42424242424242425,0.1443298969072165,0.22222222222222224,0.2258152173913044,0.9000251293182373,0.9072599411010742,0.9036280512809753
20260519_232753,649b09bfce674ca1bfd66a519fcdf59a,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.42105263157894735,0.12903225806451613,0.3368421052631579,0.2594742735899098,0.9004099369049072,0.9179846048355103,0.9091123342514038
20260519_232753,649b09bfce674ca1bfd66a519fcdf59a,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3829787234042554,0.1739130434782609,0.3191489361702128,0.3039128117752141,0.8883723616600037,0.8911758661270142,0.8897719383239746
20260519_232753,658c33365a264d1ebb7adace464406e9,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3619047619047619,0.11650485436893204,0.24761904761904763,0.24702812813930128,0.8774852752685547,0.8895821571350098,0.8834922909736633
20260519_232753,658c33365a264d1ebb7adace464406e9,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.27722772277227725,0.06060606060606061,0.23762376237623764,0.20851818988464954,0.8521873950958252,0.8762844800949097,0.8640679717063904
20260519_232753,658c33365a264d1ebb7adace464406e9,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.2692307692307692,0.0588235294117647,0.15384615384615383,0.15150866986082595,0.8605275750160217,0.8613651394844055,0.8609461784362793
20260519_232753,66f39853ad2b437c8bdca86ae74bb35f,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.34210526315789475,0.08108108108108107,0.2631578947368421,0.30240346729708434,0.8719944953918457,0.8947202563285828,0.8832111358642578
20260519_232753,66f39853ad2b437c8bdca86ae74bb35f,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3,0.08163265306122448,0.20000000000000004,0.18197048549226494,0.8627949953079224,0.8870240449905396,0.8747417330741882
20260519_232753,66f39853ad2b437c8bdca86ae74bb35f,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.38636363636363635,0.16279069767441862,0.25,0.27803064785313303,0.8931629061698914,0.8975512385368347,0.8953517079353333
20260519_232753,6b138ac4c76b4b32ab6639bfef6dfaad,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3061224489795918,0.125,0.2653061224489796,0.1812530707282165,0.9108078479766846,0.8949634432792664,0.9028160572052002
20260519_232753,6b138ac4c76b4b32ab6639bfef6dfaad,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.27956989247311825,0.021978021978021976,0.21505376344086025,0.1449601615367824,0.8979703187942505,0.8934146761894226,0.8956867456436157
20260519_232753,6b138ac4c76b4b32ab6639bfef6dfaad,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.37777777777777777,0.11363636363636363,0.26666666666666666,0.23594080338266382,0.9074034094810486,0.9024898409843445,0.9049399495124817
20260519_232753,6f18757d62184196b18ed0ecda6b55bc,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.39175257731958757,0.18947368421052632,0.3092783505154639,0.3015763091940378,0.9127011895179749,0.9113346338272095,0.9120173454284668
20260519_232753,6f18757d62184196b18ed0ecda6b55bc,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.4444444444444444,0.14432989690721648,0.303030303030303,0.2697831405751965,0.91688072681427,0.9110621213912964,0.913962185382843
20260519_232753,7003129c4b77441b96743d87085f4d58,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3010752688172043,0.043956043956043966,0.2150537634408602,0.11893087928390034,0.8953856229782104,0.8986481428146362,0.8970139026641846
20260519_232753,7003129c4b77441b96743d87085f4d58,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3902439024390244,0.125,0.26829268292682923,0.25040947926042884,0.897321879863739,0.9109692573547363,0.9040940403938293
20260519_232753,7003129c4b77441b96743d87085f4d58,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.2978723404255319,0.08695652173913043,0.21276595744680848,0.15027438334464807,0.8937204480171204,0.902317225933075,0.8979982733726501
20260519_232753,75aac08a2e784973badd5fb5b4a41397,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.21686746987951805,0.04938271604938271,0.19277108433734938,0.06036217303822938,0.9085807800292969,0.8842566013336182,0.8962537050247192
20260519_232753,75aac08a2e784973badd5fb5b4a41397,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.2894736842105263,0.08108108108108107,0.23684210526315788,0.18702031602708805,0.8985416889190674,0.8839362859725952,0.8911791443824768
20260519_232753,77dd7eb99eaa458a9c33612845124d03,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3,0.12244897959183672,0.26,0.20229841914686922,0.884680986404419,0.8786914348602295,0.8816760778427124
20260519_232753,77dd7eb99eaa458a9c33612845124d03,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.36170212765957455,0.10869565217391304,0.27659574468085113,0.17098590963880456,0.9084548950195312,0.9170234799385071,0.9127190709114075
20260519_232753,77dd7eb99eaa458a9c33612845124d03,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.34,0.14285714285714285,0.26,0.1789521778860798,0.9009608030319214,0.8995691537857056,0.9002644419670105
20260519_232753,7d6aca97a8934adda2d0a5481808a5c8,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.32608695652173914,0.15555555555555559,0.2608695652173913,0.29228694714131614,0.8801513314247131,0.8939492702484131,0.8869966864585876
20260519_232753,7d6aca97a8934adda2d0a5481808a5c8,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.42857142857142855,0.16363636363636366,0.30357142857142855,0.2798986486486486,0.9078322649002075,0.8989120721817017,0.9033501148223877
20260519_232753,7d6aca97a8934adda2d0a5481808a5c8,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.5333333333333333,0.2524271844660194,0.39999999999999997,0.3982911153119092,0.9121928215026855,0.9105310440063477,0.9113611578941345
20260519_232753,7f46ca0ef37c46ca8e371c1fd9604d5c,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.4691358024691358,0.17721518987341772,0.37037037037037035,0.14606741573033707,0.9163538813591003,0.9127767086029053,0.9145618081092834
20260519_232753,7f46ca0ef37c46ca8e371c1fd9604d5c,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.5783132530120482,0.2716049382716049,0.4578313253012048,0.27533921698223246,0.9486369490623474,0.9273903965950012,0.9378933906555176
20260519_232753,7f46ca0ef37c46ca8e371c1fd9604d5c,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.4444444444444445,0.2278481012658228,0.3209876543209876,0.2669856459330144,0.888931155204773,0.9072863459587097,0.898015022277832
20260519_232753,82b69aa5acc04079a6d99ec7523f9af4,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.44,0.12244897959183672,0.28,0.2504423486566344,0.9007594585418701,0.8794972896575928,0.8900014162063599
20260519_232753,82b69aa5acc04079a6d99ec7523f9af4,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.48484848484848486,0.16494845360824742,0.24242424242424243,0.2221546595050187,0.8989914059638977,0.8732984662055969,0.885958731174469
20260519_232753,82b69aa5acc04079a6d99ec7523f9af4,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.5,0.18604651162790697,0.3636363636363636,0.2899858773918924,0.8947029113769531,0.9117459654808044,0.9031440019607544
20260519_232753,8319ea726dbb4eeab639c70ff3f72ec2,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.4313725490196078,0.1,0.29411764705882354,0.18023377634099616,0.8983027338981628,0.8861476182937622,0.8921838402748108
20260519_232753,8319ea726dbb4eeab639c70ff3f72ec2,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3461538461538462,0.1176470588235294,0.1923076923076923,0.18063722664206924,0.8719573616981506,0.8814245462417603,0.8766654133796692
20260519_232753,8319ea726dbb4eeab639c70ff3f72ec2,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.2795698924731182,0.04395604395604396,0.17204301075268819,0.17527942143326755,0.851154625415802,0.8622149229049683,0.8566490411758423
20260519_232753,84fa3eec483747ba97c6b025c53e3005,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.20512820512820512,0.02631578947368421,0.15384615384615383,0.09685230024213075,0.8715612888336182,0.8586148023605347,0.865039587020874
20260519_232753,84fa3eec483747ba97c6b025c53e3005,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.2857142857142857,0.11235955056179775,0.1978021978021978,0.15331292333560698,0.8890198469161987,0.8746494054794312,0.8817760944366455
20260519_232753,84fa3eec483747ba97c6b025c53e3005,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.38961038961038963,0.13333333333333333,0.3116883116883117,0.2675501925192519,0.8942339420318604,0.8856725692749023,0.8899326324462891
20260519_232753,84fa3eec483747ba97c6b025c53e3005,4,writer_summaries,ollama,gemma2:9b,freelance_writer,0.27906976744186046,0.04761904761904761,0.18604651162790697,0.14160347618641903,0.8734407424926758,0.8669534921646118,0.8701850175857544
20260519_232753,8a87811f45754cd1b17c00e03d1f2773,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.38202247191011235,0.1379310344827586,0.22471910112359547,0.2663506662690503,0.8737598061561584,0.8750619292259216,0.8744103908538818
20260519_232753,8a87811f45754cd1b17c00e03d1f2773,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.32075471698113206,0.07692307692307691,0.169811320754717,0.1320754716981132,0.8621780276298523,0.8528783321380615,0.8575029373168945
20260519_232753,909f8362981a44eeae5060ea05eb31e6,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.18000000000000002,0.02040816326530612,0.12,0.05917159763313609,0.8567672371864319,0.8701030611991882,0.8633836507797241
20260519_232753,909f8362981a44eeae5060ea05eb31e6,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.18556701030927839,0.042105263157894736,0.16494845360824742,0.12398102277790886,0.8637040257453918,0.8799756765365601,0.8717639446258545
20260519_232753,909f8362981a44eeae5060ea05eb31e6,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.22448979591836735,0.020833333333333332,0.12244897959183673,0.10879984662576686,0.864745020866394,0.8853343725204468,0.874918520450592
20260519_232753,91394827e78e484084a81a6fae226b3a,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.2765957446808511,0.043478260869565216,0.14893617021276595,0.08893280632411067,0.8751339316368103,0.879370391368866,0.8772470951080322
20260519_232753,91394827e78e484084a81a6fae226b3a,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3838383838383838,0.10309278350515463,0.2222222222222222,0.1862492569843472,0.9064337611198425,0.9066446423530579,0.9065391421318054
20260519_232753,94cc70c2c23d4be4b93990116be9ecee,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.2765957446808511,0.17391304347826086,0.2553191489361702,0.14160347618641903,0.9017759561538696,0.9044879078865051,0.9031298756599426
20260519_232753,94cc70c2c23d4be4b93990116be9ecee,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.27999999999999997,0.02040816326530612,0.19999999999999998,0.08490566037735847,0.8870669603347778,0.8672305345535278,0.8770366311073303
20260519_232753,94cc70c2c23d4be4b93990116be9ecee,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3789473684210526,0.04301075268817204,0.2105263157894737,0.1626303910205575,0.8901938199996948,0.8880309462547302,0.8891111016273499
20260519_232753,94cc70c2c23d4be4b93990116be9ecee,4,writer_summaries,ollama,gemma2:9b,freelance_writer,0.4347826086956522,0.24444444444444444,0.3913043478260869,0.35931856164752823,0.9119508862495422,0.9018380641937256,0.9068663120269775
20260519_232753,9748bf127ca74011b21fcea01135e263,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3440860215053763,0.17582417582417584,0.3225806451612903,0.1692019400352734,0.9111966490745544,0.9014237523078918,0.9062838554382324
20260519_232753,9748bf127ca74011b21fcea01135e263,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.2921348314606742,0.11494252873563218,0.17977528089887643,0.11778785588309398,0.8967337012290955,0.89309161901474,0.8949089646339417
20260519_232753,9748bf127ca74011b21fcea01135e263,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.27586206896551724,0.09411764705882353,0.22988505747126434,0.13845315904139435,0.9035065174102783,0.9066458344459534,0.9050734639167786
20260519_232753,975160e2274c49e3abe326d8e6c5e367,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.32653061224489793,0.062499999999999986,0.16326530612244897,0.182704237449895,0.8484311103820801,0.891799807548523,0.8695750832557678
20260519_232753,975160e2274c49e3abe326d8e6c5e367,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3555555555555555,0.022727272727272724,0.15555555555555556,0.13856812933025403,0.8770278692245483,0.8984366059303284,0.8876031041145325
20260519_232753,975160e2274c49e3abe326d8e6c5e367,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3619047619047619,0.07766990291262135,0.1904761904761905,0.14097744360902253,0.8399500846862793,0.8767383694648743,0.8579500913619995
20260519_232753,975160e2274c49e3abe326d8e6c5e367,4,writer_summaries,ollama,gemma2:9b,freelance_writer,0.45161290322580644,0.13186813186813187,0.23655913978494622,0.3172707889125799,0.906872570514679,0.8963290452957153,0.9015699028968811
20260519_232753,9e58291d3d234e4eb2ba38f90326eca3,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3373493975903615,0.07407407407407408,0.1927710843373494,0.17838359987120317,0.8747398257255554,0.9077079892158508,0.890919029712677
20260519_232753,9e58291d3d234e4eb2ba38f90326eca3,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.27659574468085113,0.043478260869565216,0.14893617021276598,0.12065095398428732,0.8611241579055786,0.8578402400016785,0.8594790697097778
20260519_232753,9e58291d3d234e4eb2ba38f90326eca3,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.3333333333333333,0.0975609756097561,0.2619047619047619,0.24032360406091371,0.8742967247962952,0.8822107911109924,0.878235936164856
20260519_232753,9ff67e17a61f4b98ba99f986aea9b37c,1,writer_summaries,ollama,gemma2:9b,freelance_writer,0.33766233766233766,0.08,0.18181818181818185,0.26103278777075567,0.8572301268577576,0.8900651931762695,0.8733391165733337
20260519_232753,9ff67e17a61f4b98ba99f986aea9b37c,2,writer_summaries,ollama,gemma2:9b,freelance_writer,0.35000000000000003,0.05128205128205128,0.2,0.21802439984258165,0.8428300619125366,0.8708620071411133,0.8566167950630188
20260519_232753,9ff67e17a61f4b98ba99f986aea9b37c,3,writer_summaries,ollama,gemma2:9b,freelance_writer,0.44680851063829785,0.15217391304347824,0.2978723404255319,0.26694107093048675,0.875629186630249,0.9017575979232788,0.8885013461112976
